product_id;order_id;quantity;selling_price;cost_of_sales;total_price;total_cost
101221;10010;3;40;26;120.0;78.0
100125;10010;1;60;39.6;60.0;39.59375
100607;10010;1;120;86.4;120.0;86.375
101457;10010;2;90;67.5;180.0;135.0
100407;10010;2;40;31.2;80.0;62.40625
100276;10010;4;40;27.6;160.0;110.375
100548;10010;1;230;151.8;230.0;151.75
100190;10010;2;250;180;500.0;360.0
100514;10010;1;175;134.75;175.0;134.75
100290;10011;1;350;234.5;350.0;234.5
101176;10011;1;30;21.3;30.0;21.296875
100125;10011;2;60;39.6;120.0;79.1875
101002;10012;1;575;402.5;575.0;402.5
100290;10012;1;350;234.5;350.0;234.5
101176;10012;1;30;21.3;30.0;21.296875
101370;10012;1;100;70;100.0;70.0
100125;10012;2;60;39.6;120.0;79.1875
100701;10013;1;170;122.4;170.0;122.375
101370;10013;2;100;70;200.0;140.0
100125;10013;1;60;39.6;60.0;39.59375
101035;10013;1;900;666;900.0;666.0
101221;10013;4;40;26;160.0;104.0
101002;10013;2;575;402.5;1150.0;805.0
100548;10013;1;230;151.8;230.0;151.75
100290;10013;1;350;234.5;350.0;234.5
100607;10013;1;120;86.4;120.0;86.375
100599;10013;1;340;255;340.0;255.0
100927;10014;2;180;135;360.0;270.0
101176;10014;3;30;21.3;90.0;63.890625
100190;10014;2;250;180;500.0;360.0
100599;10014;1;340;255;340.0;255.0
100548;10014;1;230;151.8;230.0;151.75
101457;10014;1;90;67.5;90.0;67.5
100407;10014;2;40;31.2;80.0;62.40625
101270;10014;3;50;35;150.0;105.0
100276;10014;3;40;27.6;120.0;82.78125
100973;10014;1;500;355;500.0;355.0
100125;10015;1;60;39.6;60.0;39.59375
101457;10015;1;90;67.5;90.0;67.5
101002;10015;1;575;402.5;575.0;402.5
100125;10016;2;60;39.6;120.0;79.1875
100407;10016;1;40;31.2;40.0;31.203125
100290;10016;1;350;234.5;350.0;234.5
100488;10016;1;200;156;200.0;156.0
100978;10016;1;650;520;650.0;520.0
101176;10016;3;30;21.3;90.0;63.890625
101002;10016;1;575;402.5;575.0;402.5
100701;10016;1;170;122.4;170.0;122.375
100844;10016;2;310;204.6;620.0;409.25
100276;10016;4;40;27.6;160.0;110.375
101270;10017;1;50;35;50.0;35.0
100599;10017;1;340;255;340.0;255.0
101370;10017;1;100;70;100.0;70.0
101221;10017;1;40;26;40.0;26.0
101035;10017;1;900;666;900.0;666.0
100407;10017;2;40;31.2;80.0;62.40625
100701;10017;2;170;122.4;340.0;244.75
100973;10017;1;500;355;500.0;355.0
100125;10017;2;60;39.6;120.0;79.1875
101457;10017;1;90;67.5;90.0;67.5
100488;10017;1;200;156;200.0;156.0
100607;10017;2;120;86.4;240.0;172.75
100374;10018;1;110;74.8;110.0;74.8125
100514;10018;1;175;134.75;175.0;134.75
101176;10018;3;30;21.3;90.0;63.890625
100488;10018;1;200;156;200.0;156.0
100978;10018;1;650;520;650.0;520.0
101002;10018;2;575;402.5;1150.0;805.0
100599;10018;1;340;255;340.0;255.0
100548;10018;1;230;151.8;230.0;151.75
100548;10019;1;230;151.8;230.0;151.75
100599;10019;1;340;255;340.0;255.0
100792;10019;1;160;107.2;160.0;107.1875
100125;10019;2;60;39.6;120.0;79.1875
101270;10019;2;50;35;100.0;70.0
101221;10019;3;40;26;120.0;78.0
101035;10019;1;900;666;900.0;666.0
100374;10019;1;110;74.8;110.0;74.8125
100407;10019;2;40;31.2;80.0;62.40625
100190;10019;2;250;180;500.0;360.0
101457;10019;2;90;67.5;180.0;135.0
100701;10020;2;170;122.4;340.0;244.75
101114;10020;1;1100;803;1100.0;803.0
100276;10020;3;40;27.6;120.0;82.78125
101221;10020;4;40;26;160.0;104.0
100978;10020;2;650;520;1300.0;1040.0
100607;10020;1;120;86.4;120.0;86.375
101176;10020;3;30;21.3;90.0;63.890625
100407;10020;2;40;31.2;80.0;62.40625
100290;10020;1;350;234.5;350.0;234.5
100927;10020;2;180;135;360.0;270.0
100973;10020;1;500;355;500.0;355.0
100407;10021;2;40;31.2;80.0;62.40625
100978;10021;1;650;520;650.0;520.0
100973;10021;2;500;355;1000.0;710.0
101221;10021;1;40;26;40.0;26.0
100374;10021;1;110;74.8;110.0;74.8125
100488;10022;1;200;156;200.0;156.0
100701;10022;1;170;122.4;170.0;122.375
101270;10022;4;50;35;200.0;140.0
100607;10022;1;120;86.4;120.0;86.375
101457;10022;1;90;67.5;90.0;67.5
100927;10023;2;180;135;360.0;270.0
101221;10023;2;40;26;80.0;52.0
101114;10023;1;1100;803;1100.0;803.0
101035;10023;1;900;666;900.0;666.0
101002;10023;1;575;402.5;575.0;402.5
101457;10023;2;90;67.5;180.0;135.0
100548;10023;1;230;151.8;230.0;151.75
100844;10023;1;310;204.6;310.0;204.625
100190;10023;1;250;180;250.0;180.0
101176;10023;1;30;21.3;30.0;21.296875
101270;10024;4;50;35;200.0;140.0
101457;10024;1;90;67.5;90.0;67.5
100792;10024;2;160;107.2;320.0;214.375
100973;10024;1;500;355;500.0;355.0
101002;10025;2;575;402.5;1150.0;805.0
100548;10025;2;230;151.8;460.0;303.5
100599;10025;2;340;255;680.0;510.0
101114;10025;2;1100;803;2200.0;1606.0
100488;10025;2;200;156;400.0;312.0
100125;10025;1;60;39.6;60.0;39.59375
100514;10025;1;175;134.75;175.0;134.75
101176;10025;1;30;21.3;30.0;21.296875
100844;10025;2;310;204.6;620.0;409.25
100407;10025;1;40;31.2;40.0;31.203125
100290;10025;2;350;234.5;700.0;469.0
101035;10025;2;900;666;1800.0;1332.0
100792;10025;4;160;107.2;640.0;428.75
101370;10026;1;100;70;100.0;70.0
100927;10026;2;180;135;360.0;270.0
100701;10026;1;170;122.4;170.0;122.375
101114;10026;1;1100;803;1100.0;803.0
100290;10026;1;350;234.5;350.0;234.5
100978;10026;2;650;520;1300.0;1040.0
100844;10026;1;310;204.6;310.0;204.625
100607;10026;1;120;86.4;120.0;86.375
101270;10026;4;50;35;200.0;140.0
100190;10026;1;250;180;250.0;180.0
101457;10027;3;90;67.5;270.0;202.5
101035;10027;1;900;666;900.0;666.0
100276;10027;5;40;27.6;200.0;137.96875
100125;10027;3;60;39.6;180.0;118.78125
101370;10027;1;100;70;100.0;70.0
100844;10027;1;310;204.6;310.0;204.625
101270;10027;5;50;35;250.0;175.0
100407;10027;1;40;31.2;40.0;31.203125
101221;10027;3;40;26;120.0;78.0
100190;10027;3;250;180;750.0;540.0
100548;10027;2;230;151.8;460.0;303.5
101114;10027;2;1100;803;2200.0;1606.0
101002;10027;3;575;402.5;1725.0;1207.5
100514;10027;2;175;134.75;350.0;269.5
100701;10028;4;170;122.4;680.0;489.5
100548;10028;2;230;151.8;460.0;303.5
100407;10028;1;40;31.2;40.0;31.203125
100488;10028;2;200;156;400.0;312.0
101370;10028;3;100;70;300.0;210.0
100407;10029;2;40;31.2;80.0;62.40625
100290;10029;2;350;234.5;700.0;469.0
101035;10029;1;900;666;900.0;666.0
100488;10029;2;200;156;400.0;312.0
100973;10029;1;500;355;500.0;355.0
101176;10029;6;30;21.3;180.0;127.78125
100927;10029;2;180;135;360.0;270.0
101457;10029;1;90;67.5;90.0;67.5
100599;10029;1;340;255;340.0;255.0
101221;10029;6;40;26;240.0;156.0
100844;10029;2;310;204.6;620.0;409.25
101270;10029;1;50;35;50.0;35.0
100514;10029;1;175;134.75;175.0;134.75
100978;10029;3;650;520;1950.0;1560.0
100548;10029;2;230;151.8;460.0;303.5
100125;10029;2;60;39.6;120.0;79.1875
100276;10029;5;40;27.6;200.0;137.96875
101114;10029;1;1100;803;1100.0;803.0
100599;10030;1;340;255;340.0;255.0
100488;10030;1;200;156;200.0;156.0
100792;10030;1;160;107.2;160.0;107.1875
100927;10030;1;180;135;180.0;135.0
101002;10030;2;575;402.5;1150.0;805.0
100190;10030;1;250;180;250.0;180.0
101176;10031;5;30;21.3;150.0;106.484375
100488;10031;2;200;156;400.0;312.0
100701;10031;1;170;122.4;170.0;122.375
100844;10031;3;310;204.6;930.0;613.875
100190;10031;1;250;180;250.0;180.0
100927;10032;1;180;135;180.0;135.0
101176;10032;2;30;21.3;60.0;42.59375
101457;10032;2;90;67.5;180.0;135.0
100125;10032;2;60;39.6;120.0;79.1875
100978;10032;1;650;520;650.0;520.0
100607;10032;1;120;86.4;120.0;86.375
100599;10032;1;340;255;340.0;255.0
100488;10032;1;200;156;200.0;156.0
101035;10032;1;900;666;900.0;666.0
100290;10032;1;350;234.5;350.0;234.5
101270;10032;3;50;35;150.0;105.0
100276;10033;2;40;27.6;80.0;55.1875
100488;10033;1;200;156;200.0;156.0
101176;10033;1;30;21.3;30.0;21.296875
101457;10033;2;90;67.5;180.0;135.0
101035;10034;1;900;666;900.0;666.0
100125;10034;1;60;39.6;60.0;39.59375
100548;10034;1;230;151.8;230.0;151.75
100407;10034;2;40;31.2;80.0;62.40625
100599;10034;1;340;255;340.0;255.0
100488;10034;1;200;156;200.0;156.0
100844;10034;1;310;204.6;310.0;204.625
101270;10035;1;50;35;50.0;35.0
100290;10035;1;350;234.5;350.0;234.5
100407;10035;1;40;31.2;40.0;31.203125
101114;10035;1;1100;803;1100.0;803.0
100276;10036;2;40;27.6;80.0;55.1875
100844;10036;2;310;204.6;620.0;409.25
100792;10036;2;160;107.2;320.0;214.375
100927;10036;1;180;135;180.0;135.0
101370;10036;2;100;70;200.0;140.0
101002;10036;2;575;402.5;1150.0;805.0
101035;10036;1;900;666;900.0;666.0
101270;10037;1;50;35;50.0;35.0
100190;10037;2;250;180;500.0;360.0
100125;10037;1;60;39.6;60.0;39.59375
100488;10038;1;200;156;200.0;156.0
101270;10038;2;50;35;100.0;70.0
100701;10038;1;170;122.4;170.0;122.375
100374;10038;1;110;74.8;110.0;74.8125
100607;10038;1;120;86.4;120.0;86.375
100407;10038;2;40;31.2;80.0;62.40625
101457;10038;2;90;67.5;180.0;135.0
100599;10039;1;340;255;340.0;255.0
100844;10039;2;310;204.6;620.0;409.25
101221;10039;1;40;26;40.0;26.0
100978;10039;2;650;520;1300.0;1040.0
100548;10039;1;230;151.8;230.0;151.75
101370;10039;1;100;70;100.0;70.0
100792;10039;2;160;107.2;320.0;214.375
100276;10039;4;40;27.6;160.0;110.375
100290;10039;1;350;234.5;350.0;234.5
100701;10039;2;170;122.4;340.0;244.75
101457;10039;1;90;67.5;90.0;67.5
100978;10040;2;650;520;1300.0;1040.0
100125;10040;2;60;39.6;120.0;79.1875
100844;10040;1;310;204.6;310.0;204.625
100978;10041;1;650;520;650.0;520.0
100374;10041;1;110;74.8;110.0;74.8125
100514;10041;1;175;134.75;175.0;134.75
100488;10041;1;200;156;200.0;156.0
101370;10041;2;100;70;200.0;140.0
100973;10041;1;500;355;500.0;355.0
100927;10041;2;180;135;360.0;270.0
101221;10041;4;40;26;160.0;104.0
100290;10041;1;350;234.5;350.0;234.5
101457;10041;1;90;67.5;90.0;67.5
101270;10041;4;50;35;200.0;140.0
100978;10042;2;650;520;1300.0;1040.0
101270;10042;2;50;35;100.0;70.0
100276;10042;4;40;27.6;160.0;110.375
101370;10042;2;100;70;200.0;140.0
100125;10043;2;60;39.6;120.0;79.1875
101002;10043;2;575;402.5;1150.0;805.0
100514;10043;1;175;134.75;175.0;134.75
100844;10043;1;310;204.6;310.0;204.625
100978;10043;2;650;520;1300.0;1040.0
100607;10043;1;120;86.4;120.0;86.375
101035;10043;1;900;666;900.0;666.0
100792;10043;1;160;107.2;160.0;107.1875
100973;10043;2;500;355;1000.0;710.0
100701;10043;1;170;122.4;170.0;122.375
101176;10043;4;30;21.3;120.0;85.1875
101221;10043;1;40;26;40.0;26.0
100701;10044;1;170;122.4;170.0;122.375
100978;10044;1;650;520;650.0;520.0
100514;10044;1;175;134.75;175.0;134.75
100844;10044;1;310;204.6;310.0;204.625
101002;10044;1;575;402.5;575.0;402.5
100407;10044;1;40;31.2;40.0;31.203125
101114;10044;1;1100;803;1100.0;803.0
100276;10044;4;40;27.6;160.0;110.375
100548;10044;1;230;151.8;230.0;151.75
100599;10044;1;340;255;340.0;255.0
100488;10044;1;200;156;200.0;156.0
101114;10045;1;1100;803;1100.0;803.0
100599;10045;1;340;255;340.0;255.0
100978;10045;1;650;520;650.0;520.0
101221;10045;1;40;26;40.0;26.0
100190;10046;1;250;180;250.0;180.0
100701;10046;1;170;122.4;170.0;122.375
100514;10046;1;175;134.75;175.0;134.75
100978;10046;2;650;520;1300.0;1040.0
101002;10046;2;575;402.5;1150.0;805.0
100599;10046;1;340;255;340.0;255.0
100607;10046;2;120;86.4;240.0;172.75
101221;10046;3;40;26;120.0;78.0
100488;10046;1;200;156;200.0;156.0
100844;10046;2;310;204.6;620.0;409.25
100125;10046;1;60;39.6;60.0;39.59375
101270;10046;3;50;35;150.0;105.0
100792;10047;2;160;107.2;320.0;214.375
100276;10047;2;40;27.6;80.0;55.1875
101221;10048;1;40;26;40.0;26.0
100844;10048;2;310;204.6;620.0;409.25
100599;10048;1;340;255;340.0;255.0
100973;10048;2;500;355;1000.0;710.0
101114;10048;1;1100;803;1100.0;803.0
101457;10048;1;90;67.5;90.0;67.5
100190;10048;1;250;180;250.0;180.0
100978;10048;1;650;520;650.0;520.0
100276;10049;3;40;27.6;120.0;82.78125
100701;10049;1;170;122.4;170.0;122.375
100290;10049;1;350;234.5;350.0;234.5
101002;10049;2;575;402.5;1150.0;805.0
100607;10049;2;120;86.4;240.0;172.75
100599;10049;1;340;255;340.0;255.0
101176;10049;4;30;21.3;120.0;85.1875
100978;10049;1;650;520;650.0;520.0
101114;10049;1;1100;803;1100.0;803.0
101221;10049;2;40;26;80.0;52.0
100548;10049;1;230;151.8;230.0;151.75
100844;10049;2;310;204.6;620.0;409.25
100374;10050;1;110;74.8;110.0;74.8125
100978;10050;2;650;520;1300.0;1040.0
100844;10050;2;310;204.6;620.0;409.25
100125;10050;1;60;39.6;60.0;39.59375
100607;10050;2;120;86.4;240.0;172.75
101457;10050;1;90;67.5;90.0;67.5
101457;10051;2;90;67.5;180.0;135.0
100374;10051;1;110;74.8;110.0;74.8125
101370;10051;1;100;70;100.0;70.0
100599;10051;1;340;255;340.0;255.0
100978;10051;1;650;520;650.0;520.0
100701;10051;2;170;122.4;340.0;244.75
100973;10051;1;500;355;500.0;355.0
100290;10051;1;350;234.5;350.0;234.5
100514;10051;1;175;134.75;175.0;134.75
101221;10051;1;40;26;40.0;26.0
100125;10051;2;60;39.6;120.0;79.1875
100276;10052;3;40;27.6;120.0;82.78125
100190;10052;1;250;180;250.0;180.0
100599;10052;1;340;255;340.0;255.0
100792;10052;1;160;107.2;160.0;107.1875
100927;10052;2;180;135;360.0;270.0
101002;10052;2;575;402.5;1150.0;805.0
100125;10052;1;60;39.6;60.0;39.59375
100488;10052;1;200;156;200.0;156.0
100374;10052;1;110;74.8;110.0;74.8125
100927;10053;1;180;135;180.0;135.0
100276;10053;2;40;27.6;80.0;55.1875
100488;10053;1;200;156;200.0;156.0
100978;10053;1;650;520;650.0;520.0
100125;10054;2;60;39.6;120.0;79.1875
100290;10054;1;350;234.5;350.0;234.5
100488;10054;1;200;156;200.0;156.0
100276;10054;3;40;27.6;120.0;82.78125
100599;10055;2;340;255;680.0;510.0
100190;10055;2;250;180;500.0;360.0
101221;10055;4;40;26;160.0;104.0
100125;10055;2;60;39.6;120.0;79.1875
100548;10055;1;230;151.8;230.0;151.75
101270;10055;5;50;35;250.0;175.0
100701;10055;1;170;122.4;170.0;122.375
100927;10055;3;180;135;540.0;405.0
101370;10056;1;100;70;100.0;70.0
100407;10056;2;40;31.2;80.0;62.40625
100548;10056;1;230;151.8;230.0;151.75
100514;10056;1;175;134.75;175.0;134.75
101370;10057;3;100;70;300.0;210.0
100488;10057;2;200;156;400.0;312.0
101114;10057;1;1100;803;1100.0;803.0
100599;10057;2;340;255;680.0;510.0
101035;10057;1;900;666;900.0;666.0
100844;10057;1;310;204.6;310.0;204.625
101176;10057;5;30;21.3;150.0;106.484375
100276;10057;5;40;27.6;200.0;137.96875
100290;10057;1;350;234.5;350.0;234.5
100374;10057;2;110;74.8;220.0;149.625
101457;10057;3;90;67.5;270.0;202.5
100607;10057;3;120;86.4;360.0;259.125
100276;10058;3;40;27.6;120.0;82.78125
101370;10058;2;100;70;200.0;140.0
100374;10058;1;110;74.8;110.0;74.8125
100973;10058;1;500;355;500.0;355.0
100190;10059;1;250;180;250.0;180.0
100978;10059;1;650;520;650.0;520.0
101270;10059;3;50;35;150.0;105.0
100701;10059;2;170;122.4;340.0;244.75
100607;10059;2;120;86.4;240.0;172.75
100792;10059;2;160;107.2;320.0;214.375
101457;10059;1;90;67.5;90.0;67.5
100514;10059;1;175;134.75;175.0;134.75
101176;10059;4;30;21.3;120.0;85.1875
100290;10060;1;350;234.5;350.0;234.5
100125;10060;1;60;39.6;60.0;39.59375
100927;10060;4;180;135;720.0;540.0
100599;10060;2;340;255;680.0;510.0
100190;10060;3;250;180;750.0;540.0
101114;10060;2;1100;803;2200.0;1606.0
100792;10060;4;160;107.2;640.0;428.75
100978;10060;3;650;520;1950.0;1560.0
100514;10060;2;175;134.75;350.0;269.5
100374;10060;2;110;74.8;220.0;149.625
101002;10060;2;575;402.5;1150.0;805.0
100701;10061;1;170;122.4;170.0;122.375
101457;10061;3;90;67.5;270.0;202.5
100276;10061;4;40;27.6;160.0;110.375
100548;10061;2;230;151.8;460.0;303.5
101176;10061;4;30;21.3;120.0;85.1875
100927;10061;4;180;135;720.0;540.0
100290;10061;2;350;234.5;700.0;469.0
100978;10061;1;650;520;650.0;520.0
100844;10061;1;310;204.6;310.0;204.625
100374;10061;2;110;74.8;220.0;149.625
100374;10062;1;110;74.8;110.0;74.8125
101035;10062;2;900;666;1800.0;1332.0
100290;10062;2;350;234.5;700.0;469.0
100973;10062;1;500;355;500.0;355.0
100125;10062;3;60;39.6;180.0;118.78125
100607;10062;1;120;86.4;120.0;86.375
100190;10062;1;250;180;250.0;180.0
101370;10062;3;100;70;300.0;210.0
100276;10063;3;40;27.6;120.0;82.78125
100701;10063;1;170;122.4;170.0;122.375
100792;10063;3;160;107.2;480.0;321.5625
100125;10063;2;60;39.6;120.0;79.1875
100607;10063;4;120;86.4;480.0;345.5
100488;10063;1;200;156;200.0;156.0
101002;10063;2;575;402.5;1150.0;805.0
101370;10063;1;100;70;100.0;70.0
100599;10063;2;340;255;680.0;510.0
100927;10063;3;180;135;540.0;405.0
101114;10063;2;1100;803;2200.0;1606.0
101270;10063;5;50;35;250.0;175.0
101221;10063;2;40;26;80.0;52.0
100374;10063;1;110;74.8;110.0;74.8125
101457;10063;1;90;67.5;90.0;67.5
101035;10063;2;900;666;1800.0;1332.0
101002;10064;2;575;402.5;1150.0;805.0
100190;10064;1;250;180;250.0;180.0
101114;10064;1;1100;803;1100.0;803.0
101457;10064;1;90;67.5;90.0;67.5
100374;10064;1;110;74.8;110.0;74.8125
100701;10064;2;170;122.4;340.0;244.75
100607;10064;1;120;86.4;120.0;86.375
100548;10064;1;230;151.8;230.0;151.75
100276;10064;3;40;27.6;120.0;82.78125
101035;10064;1;900;666;900.0;666.0
101221;10064;1;40;26;40.0;26.0
100407;10064;1;40;31.2;40.0;31.203125
101457;10065;2;90;67.5;180.0;135.0
100374;10065;1;110;74.8;110.0;74.8125
101002;10065;1;575;402.5;575.0;402.5
101114;10065;1;1100;803;1100.0;803.0
100973;10065;2;500;355;1000.0;710.0
100548;10065;1;230;151.8;230.0;151.75
100125;10065;1;60;39.6;60.0;39.59375
100844;10065;2;310;204.6;620.0;409.25
101221;10066;3;40;26;120.0;78.0
100290;10066;1;350;234.5;350.0;234.5
100125;10066;2;60;39.6;120.0;79.1875
100407;10066;1;40;31.2;40.0;31.203125
101370;10066;2;100;70;200.0;140.0
101270;10066;4;50;35;200.0;140.0
101176;10067;1;30;21.3;30.0;21.296875
101221;10067;4;40;26;160.0;104.0
100290;10067;1;350;234.5;350.0;234.5
100599;10067;1;340;255;340.0;255.0
100973;10067;2;500;355;1000.0;710.0
100927;10067;1;180;135;180.0;135.0
101035;10067;1;900;666;900.0;666.0
100792;10067;1;160;107.2;160.0;107.1875
100978;10067;2;650;520;1300.0;1040.0
100927;10068;1;180;135;180.0;135.0
100607;10068;1;120;86.4;120.0;86.375
100599;10068;1;340;255;340.0;255.0
100125;10068;2;60;39.6;120.0;79.1875
101221;10068;4;40;26;160.0;104.0
100488;10068;1;200;156;200.0;156.0
100276;10068;2;40;27.6;80.0;55.1875
101002;10068;2;575;402.5;1150.0;805.0
100374;10068;1;110;74.8;110.0;74.8125
100973;10068;1;500;355;500.0;355.0
100927;10069;2;180;135;360.0;270.0
100488;10069;1;200;156;200.0;156.0
101270;10069;1;50;35;50.0;35.0
101370;10069;1;100;70;100.0;70.0
101221;10069;2;40;26;80.0;52.0
100514;10069;1;175;134.75;175.0;134.75
100407;10069;2;40;31.2;80.0;62.40625
100190;10070;1;250;180;250.0;180.0
100978;10070;1;650;520;650.0;520.0
101370;10070;1;100;70;100.0;70.0
100548;10070;1;230;151.8;230.0;151.75
100973;10070;1;500;355;500.0;355.0
100290;10070;1;350;234.5;350.0;234.5
100701;10070;2;170;122.4;340.0;244.75
100514;10070;1;175;134.75;175.0;134.75
101035;10070;1;900;666;900.0;666.0
101176;10070;3;30;21.3;90.0;63.890625
100599;10070;1;340;255;340.0;255.0
101002;10070;2;575;402.5;1150.0;805.0
100276;10071;3;40;27.6;120.0;82.78125
100290;10071;1;350;234.5;350.0;234.5
100407;10071;2;40;31.2;80.0;62.40625
101002;10071;2;575;402.5;1150.0;805.0
100125;10072;1;60;39.6;60.0;39.59375
100488;10072;1;200;156;200.0;156.0
100374;10072;1;110;74.8;110.0;74.8125
100927;10072;2;180;135;360.0;270.0
101002;10073;1;575;402.5;575.0;402.5
101221;10073;3;40;26;120.0;78.0
101114;10073;1;1100;803;1100.0;803.0
100599;10073;1;340;255;340.0;255.0
100973;10073;2;500;355;1000.0;710.0
101176;10073;4;30;21.3;120.0;85.1875
100978;10073;2;650;520;1300.0;1040.0
101370;10073;2;100;70;200.0;140.0
100844;10073;2;310;204.6;620.0;409.25
100927;10073;1;180;135;180.0;135.0
100548;10074;1;230;151.8;230.0;151.75
100792;10074;1;160;107.2;160.0;107.1875
101370;10074;1;100;70;100.0;70.0
101176;10074;4;30;21.3;120.0;85.1875
100973;10075;1;500;355;500.0;355.0
100599;10075;1;340;255;340.0;255.0
100374;10075;1;110;74.8;110.0;74.8125
100290;10075;1;350;234.5;350.0;234.5
100190;10075;2;250;180;500.0;360.0
100407;10075;2;40;31.2;80.0;62.40625
100548;10075;1;230;151.8;230.0;151.75
101176;10075;2;30;21.3;60.0;42.59375
100701;10075;1;170;122.4;170.0;122.375
100978;10076;1;650;520;650.0;520.0
101270;10076;3;50;35;150.0;105.0
101221;10076;1;40;26;40.0;26.0
100125;10076;2;60;39.6;120.0;79.1875
100276;10077;4;40;27.6;160.0;110.375
100488;10077;1;200;156;200.0;156.0
100978;10077;1;650;520;650.0;520.0
101176;10077;1;30;21.3;30.0;21.296875
100514;10077;1;175;134.75;175.0;134.75
101221;10077;1;40;26;40.0;26.0
101035;10077;1;900;666;900.0;666.0
100290;10077;1;350;234.5;350.0;234.5
100927;10078;1;180;135;180.0;135.0
100407;10078;2;40;31.2;80.0;62.40625
100125;10078;2;60;39.6;120.0;79.1875
101221;10078;1;40;26;40.0;26.0
101370;10078;1;100;70;100.0;70.0
101002;10078;1;575;402.5;575.0;402.5
100973;10078;2;500;355;1000.0;710.0
100792;10078;2;160;107.2;320.0;214.375
100190;10079;2;250;180;500.0;360.0
100978;10079;2;650;520;1300.0;1040.0
101002;10079;1;575;402.5;575.0;402.5
100548;10079;1;230;151.8;230.0;151.75
101221;10079;1;40;26;40.0;26.0
100190;10080;1;250;180;250.0;180.0
101176;10080;3;30;21.3;90.0;63.890625
101114;10080;2;1100;803;2200.0;1606.0
100701;10080;1;170;122.4;170.0;122.375
100792;10080;2;160;107.2;320.0;214.375
100125;10080;1;60;39.6;60.0;39.59375
100599;10080;2;340;255;680.0;510.0
100407;10081;2;40;31.2;80.0;62.40625
100488;10081;1;200;156;200.0;156.0
100374;10081;1;110;74.8;110.0;74.8125
101114;10081;1;1100;803;1100.0;803.0
101035;10081;1;900;666;900.0;666.0
100290;10081;1;350;234.5;350.0;234.5
100701;10081;1;170;122.4;170.0;122.375
100607;10081;1;120;86.4;120.0;86.375
101370;10081;1;100;70;100.0;70.0
100190;10081;2;250;180;500.0;360.0
100927;10081;1;180;135;180.0;135.0
101176;10081;2;30;21.3;60.0;42.59375
100407;10082;2;40;31.2;80.0;62.40625
100374;10082;1;110;74.8;110.0;74.8125
100978;10082;1;650;520;650.0;520.0
100488;10082;1;200;156;200.0;156.0
